,publishedAt,channelId,title,description,channelTitle,liveBroadcastContent,publishTime,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,videoId
67,2021-10-28T19:28:50Z,UC52X5wxOL_s5yw0dQk7NtgA,Huge pumpkin heralds Halloween celebrations in HK,A Hong Kong promenade has been lit up by a giant pumpkin Subscribe for more Breaking News: http://smarturl.it/AssociatedPress ...,Associated Press,none,2021-10-28T19:28:50Z,https://i.ytimg.com/vi/nqSlXstOBrU/default.jpg,120,90,https://i.ytimg.com/vi/nqSlXstOBrU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nqSlXstOBrU/hqdefault.jpg,480,360,nqSlXstOBrU
68,2021-10-28T19:19:24Z,UC52X5wxOL_s5yw0dQk7NtgA,Long tradition of Popes meeting U.S. Presidents,"Joe Biden, the 2nd Catholic president in U.S. history, will meet Pope Francis for a fourth time on Friday ahead of a global climate ...",Associated Press,none,2021-10-28T19:19:24Z,https://i.ytimg.com/vi/6GBSobUXT_0/default.jpg,120,90,https://i.ytimg.com/vi/6GBSobUXT_0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6GBSobUXT_0/hqdefault.jpg,480,360,6GBSobUXT_0
69,2021-10-28T18:17:14Z,UC52X5wxOL_s5yw0dQk7NtgA,&#39;Snakehead&#39; tells a unique New York gangster story,"Shuya Chang stars in the indie thriller ""Snakehead"" as an immigrant who rises in the Chinatown underworld. (Oct. 28) Subscribe ...",Associated Press,none,2021-10-28T18:17:14Z,https://i.ytimg.com/vi/pCj30thCJzI/default.jpg,120,90,https://i.ytimg.com/vi/pCj30thCJzI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pCj30thCJzI/hqdefault.jpg,480,360,pCj30thCJzI
70,2021-10-28T17:20:56Z,UC52X5wxOL_s5yw0dQk7NtgA,Biden reveals $1.75t &#39;historic&#39; policy framework,President Joe Biden declares he has reached a “historic economic framework” with Democrats in Congress on his sweeping ...,Associated Press,none,2021-10-28T17:20:56Z,https://i.ytimg.com/vi/WL5U4fTUAUI/default.jpg,120,90,https://i.ytimg.com/vi/WL5U4fTUAUI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WL5U4fTUAUI/hqdefault.jpg,480,360,WL5U4fTUAUI
71,2021-10-28T14:34:22Z,UC52X5wxOL_s5yw0dQk7NtgA,"Cats, &#39;Xena,&#39; and bread making with Lucy Lawless","""My Life Is Murder"" star Lucy Lawless talks about solving tricky cases while baking bread plus working with feline and ""Xena"" ...",Associated Press,none,2021-10-28T14:34:22Z,https://i.ytimg.com/vi/5a8rPkzRPjg/default.jpg,120,90,https://i.ytimg.com/vi/5a8rPkzRPjg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5a8rPkzRPjg/hqdefault.jpg,480,360,5a8rPkzRPjg
72,2021-10-28T13:11:36Z,UC52X5wxOL_s5yw0dQk7NtgA,&#39;My Name&#39; director defends sex scene,"Kim Jin-min, director of Netflix action drama ""My Name,"" defends the decision to include a controversial sex scene for the show's ...",Associated Press,none,2021-10-28T13:11:36Z,https://i.ytimg.com/vi/062KDYCJ-Jo/default.jpg,120,90,https://i.ytimg.com/vi/062KDYCJ-Jo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/062KDYCJ-Jo/hqdefault.jpg,480,360,062KDYCJ-Jo
73,2021-10-28T12:44:11Z,UC52X5wxOL_s5yw0dQk7NtgA,Ralph Lauren rolls out buffalo plaid for Team USA in Beijing,Ralph Lauren has unveiled navy blue uniforms for Team USA to wear during the closing ceremonies of the winter Olympics and ...,Associated Press,none,2021-10-28T12:44:11Z,https://i.ytimg.com/vi/soHkwQr4Skw/default.jpg,120,90,https://i.ytimg.com/vi/soHkwQr4Skw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/soHkwQr4Skw/hqdefault.jpg,480,360,soHkwQr4Skw
74,2021-10-28T12:41:50Z,UC52X5wxOL_s5yw0dQk7NtgA,&#39;Eternals&#39; come home to London,"The British cast of Marvel's superhero epic ""Eternals,"" including Richard Madden and Kit Harington, showcase the film in London ...",Associated Press,none,2021-10-28T12:41:50Z,https://i.ytimg.com/vi/1yAC2oUpCVk/default.jpg,120,90,https://i.ytimg.com/vi/1yAC2oUpCVk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1yAC2oUpCVk/hqdefault.jpg,480,360,1yAC2oUpCVk
75,2021-10-28T12:39:07Z,UC52X5wxOL_s5yw0dQk7NtgA,Chocolate dress fashion show opens Paris fair,"Models wear dresses adorned with candy, as a fashion show with a difference opens the chocolate fair in Paris. (Oct. 28) ...",Associated Press,none,2021-10-28T12:39:07Z,https://i.ytimg.com/vi/SNU65SdfBy8/default.jpg,120,90,https://i.ytimg.com/vi/SNU65SdfBy8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/SNU65SdfBy8/hqdefault.jpg,480,360,SNU65SdfBy8
76,2021-10-28T11:31:38Z,UC52X5wxOL_s5yw0dQk7NtgA,"ShowBiz Minute: Baldwin, Pitt, CMAs",How live ammo got on set still a mystery in Baldwin shooting; California high court won't hear Brad Pitt divorce appeal; The CMA ...,Associated Press,none,2021-10-28T11:31:38Z,https://i.ytimg.com/vi/ENCr3CJ_5kQ/default.jpg,120,90,https://i.ytimg.com/vi/ENCr3CJ_5kQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ENCr3CJ_5kQ/hqdefault.jpg,480,360,ENCr3CJ_5kQ
