"X","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","canRate","viewerRating","likeCount","publishedAt","updatedAt","authorChannelId.value","comment_id","comment_Toxicity"
0,"8ZtsbX-rngQ","On a more serious note., Due to the size of the guns, during times of conflict, Countries like Russian should be treated with 007 instead of Emborgos.","On a more serious note., Due to the size of the guns, during times of conflict, Countries like Russian should be treated with 007 instead of Emborgos.","ROYAL THE KING","https://yt3.ggpht.com/ytc/AL5GRJV_UwEQU2Nck2kRuzkIzAK53oqqhUiBQTmH9gExog=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCSbKL5NZRwMlOD7w13vXUew","True","none",0,"2022-09-09T18:13:24Z","2022-09-09T18:13:24Z","UCSbKL5NZRwMlOD7w13vXUew","UgwfCRUZvPJ5kY81RHZ4AaABAg",0.123468354
1,"8ZtsbX-rngQ","It&#39;s time that all Americans come to the realization that the Democrats and Republicans are flip sides of the same corroded coin. In the absence of an alternate true people&#39;s party, simply register  No Party Affiliation (NPA) then vote the issues rather than the party.","It's time that all Americans come to the realization that the Democrats and Republicans are flip sides of the same corroded coin. In the absence of an alternate true people's party, simply register  No Party Affiliation (NPA) then vote the issues rather than the party.","jascam1","https://yt3.ggpht.com/ytc/AL5GRJW1StFRGrBmGLjtXW_RvUi6H0Q4DJlONqg8Pw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCa8KAtnTzwZocGte3DZ_XAA","True","none",0,"2022-08-04T17:35:02Z","2022-08-04T17:35:02Z","UCa8KAtnTzwZocGte3DZ_XAA","UgxkBZoOLHO_LF5xeml4AaABAg",0.25462922
2,"8ZtsbX-rngQ","So he switched parties bc Republicans are preppers and dems aren&#39;t?","So he switched parties bc Republicans are preppers and dems aren't?","TeaNCoffee","https://yt3.ggpht.com/ytc/AL5GRJW5q8BvUEVOttjJzW7EEOsfL8HzrARtYRj6v5k8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGR9kjelhtYyy5IkZs4n0OQ","True","none",0,"2022-07-16T17:56:06Z","2022-07-16T17:56:06Z","UCGR9kjelhtYyy5IkZs4n0OQ","Ugxkg43Cg9ZR9VxtbyZ4AaABAg",0.15324512
3,"8ZtsbX-rngQ","How can the house, senate, bureaucracy and president all be the same party and accomplish nothing","How can the house, senate, bureaucracy and president all be the same party and accomplish nothing","Matt The Radar Technician","https://yt3.ggpht.com/ytc/AL5GRJUPDzuRYpaBNesEPvyBmvkRFAbn7fre0PfRoogDLw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCkUpvdvVCO9uKeCQdRFZ9NQ","True","none",3,"2022-06-07T18:38:48Z","2022-06-07T18:38:48Z","UCkUpvdvVCO9uKeCQdRFZ9NQ","UgwUYGBk1HQd5m8g3kZ4AaABAg",0.054037213
4,"8ZtsbX-rngQ","All the corruption in the GOP who can even think to vote republican","All the corruption in the GOP who can even think to vote republican","Willard Simpson","https://yt3.ggpht.com/ytc/AL5GRJWkDwvSZbmu7rvW_vS25HJb1dSbgmo0aUwqPFi4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCvMZIjBopkW98A1G12Kc2lQ","True","none",0,"2022-04-05T14:22:58Z","2022-04-05T14:22:58Z","UCvMZIjBopkW98A1G12Kc2lQ","Ugw4SLhr0w4j7QJP11J4AaABAg",0.30452284
5,"8ZtsbX-rngQ","And while I was once a Blue dog Democrat, and yet I cdnt Become  a Republican supporter, either. We need a viable Third party that actually represents The People","And while I was once a Blue dog Democrat, and yet I cdnt Become  a Republican supporter, either. We need a viable Third party that actually represents The People","Dead Reckoning","https://yt3.ggpht.com/ytc/AL5GRJWx7BT8OXvQBz-Hd8BfvXH-6dSWu4n0YITl4oB3_7f0zaNxO4OinDjDqNmNloLZ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxpOlkjX_PWgZI9fxNN3_og","True","none",3,"2022-03-16T16:47:33Z","2022-03-16T16:47:33Z","UCxpOlkjX_PWgZI9fxNN3_og","UgxTM2sjwm-tp-y9rgR4AaABAg",0.15103401
6,"8ZtsbX-rngQ","All these Democrats who are hopeful because Biden won in 2020, but he did it by a small margin, you guys should worry. I can tell you many more people voted AGAINST Trump than FOR this administration. So in 2024, you might be ok if Trump runs, but for 2022, you are screwed. I am an Independent voter, so I can tell you, none of us right now would vote for Democrat.  I didn’t vote in 2020 because I felt both candidates had issues, and I would let those who felt strongly win. I can tell you things are so bad, we I won’t abstain this year.","All these Democrats who are hopeful because Biden won in 2020, but he did it by a small margin, you guys should worry. I can tell you many more people voted AGAINST Trump than FOR this administration. So in 2024, you might be ok if Trump runs, but for 2022, you are screwed. I am an Independent voter, so I can tell you, none of us right now would vote for Democrat.  I didn’t vote in 2020 because I felt both candidates had issues, and I would let those who felt strongly win. I can tell you things are so bad, we I won’t abstain this year.","RJ","https://yt3.ggpht.com/DQPrB-SE-D7ybB0yCTUWEqTSL3YVOEbQfE--hq0nBKdqChMKB59uG8dGz3H75ocBcpum7leIYg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UChP5LN6eNz0wHEssv1ESBww","True","none",2,"2022-03-12T03:08:45Z","2022-03-12T03:13:28Z","UChP5LN6eNz0wHEssv1ESBww","UgwpgeFuflwjf2IZ0lp4AaABAg",0.36867723
7,"8ZtsbX-rngQ","Keep the us out of ukraine","Keep the us out of ukraine","Diane Cattell","https://yt3.ggpht.com/ytc/AL5GRJXJdyXnoBpRSFikPH3jIUIYyaT2PiadgmmhWQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxV_Z6JjNkFymQKhkk_4i9A","True","none",0,"2022-03-10T13:31:24Z","2022-03-10T13:31:24Z","UCxV_Z6JjNkFymQKhkk_4i9A","Ugyx1nIdCtd0LhRXwPd4AaABAg",0.20219094
8,"8ZtsbX-rngQ","Ukraine needs cuba. They got batista out","Ukraine needs cuba. They got batista out","Diane Cattell","https://yt3.ggpht.com/ytc/AL5GRJXJdyXnoBpRSFikPH3jIUIYyaT2PiadgmmhWQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxV_Z6JjNkFymQKhkk_4i9A","True","none",0,"2022-03-10T13:30:49Z","2022-03-10T13:30:49Z","UCxV_Z6JjNkFymQKhkk_4i9A","UgwhQtAUjv3BGGdax3Z4AaABAg",0.19893374
9,"8ZtsbX-rngQ","Putin republicans","Putin republicans","JDSimon FPV","https://yt3.ggpht.com/ytc/AL5GRJUvraOPqUcuxVD9JNust0M7J9rsyCGwbtT7bw-rGbloPM5ZONdMeqy0blZ6aXTf=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCs7D5P7Hn7_EIo2Z6d86E3w","True","none",0,"2022-03-06T20:38:31Z","2022-03-06T20:38:31Z","UCs7D5P7Hn7_EIo2Z6d86E3w","UgxxlBJOBghseuFpX854AaABAg",0.08795626
