"X","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","canRate","viewerRating","likeCount","publishedAt","updatedAt","authorChannelId.value","comment_id","comment_Toxicity"
0,"AOSLIzKRqJU","Good job reading buddy","Good job reading buddy","Alternate Adventures","https://yt3.ggpht.com/ytc/AL5GRJWSzx7tRPf3nDMcZTqjlKebnvA8bkFXWT0uO-PEyA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCk9tdlstJcVil4q8PD8DXzw","True","none",0,"2022-11-02T04:47:10Z","2022-11-02T04:47:10Z","UCk9tdlstJcVil4q8PD8DXzw","Ugw2yjKW7hdJ702k8Yh4AaABAg",0.019980038
1,"AOSLIzKRqJU","So far it&#39;s been build back broker.","So far it's been build back broker.","iamthemiracle81","https://yt3.ggpht.com/ytc/AL5GRJUMYDExDdefgSyFjgfEYIkIi8ddgf5C39LzO7wj=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC8r_lpQTrYtOKKe51mFlgjw","True","none",0,"2022-09-01T08:55:54Z","2022-09-01T08:55:54Z","UC8r_lpQTrYtOKKe51mFlgjw","UgwZYpIed7dz8DetGeV4AaABAg",0.1140901
2,"AOSLIzKRqJU","let&#39;s all be in full attention.<br>this is not rocket - mathematics...countries that have gone over their CO² emmissions budget ...you have ran the red lights every moment since I don&#39;t know when...guilty ..guilty ...guilty ..<br>GUILTY ECONOMY ..","let's all be in full attention.
this is not rocket - mathematics...countries that have gone over their CO² emmissions budget ...you have ran the red lights every moment since I don't know when...guilty ..guilty ...guilty ..
GUILTY ECONOMY ..","Villacorta James Gamboa","https://yt3.ggpht.com/kA-o3cjXyjYLQJ3J1KXFZ07c90PTqcmTspvltymmyzPJWn9lk-ALCA1Lgf6ZUMAygcq3iqHwGA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwxaOD9v93HaovOcps0Ukgg","True","none",0,"2021-12-27T23:34:24Z","2021-12-27T23:34:24Z","UCwxaOD9v93HaovOcps0Ukgg","UgwLxenSM8NpXbWgUGV4AaABAg",0.31825066
3,"AOSLIzKRqJU","The MOST POTENT greenhouse gas that the political and scientific dollar-chasers can&#39;t get ahold on is WATER VAPOR. 
<br>We don&#39;t hear anything about water vapor because there&#39;s no money in it! There are no control and guilt factors that government and crooked scientificos can inflict on us with water vapor because it occurs naturally: it&#39;s simply mother nature doing what she has forever.  
<br>Do you every hear government and science telling you to QUIT FLYING ? Of course not! The wealthy fly a LOT and JET AIRCRAFT GO THROUGH ONE GALLON OF FUEL PER SECOND (PER BOEING) !! And there are THOUSANDS of aircraft in the air at any given moment, year around. But SSHHH...don&#39;t tell anyone!","The MOST POTENT greenhouse gas that the political and scientific dollar-chasers can't get ahold on is WATER VAPOR. 
We don't hear anything about water vapor because there's no money in it! There are no control and guilt factors that government and crooked scientificos can inflict on us with water vapor because it occurs naturally: it's simply mother nature doing what she has forever.  
Do you every hear government and science telling you to QUIT FLYING ? Of course not! The wealthy fly a LOT and JET AIRCRAFT GO THROUGH ONE GALLON OF FUEL PER SECOND (PER BOEING) !! And there are THOUSANDS of aircraft in the air at any given moment, year around. But SSHHH...don't tell anyone!","Stihlsawrepairs","https://yt3.ggpht.com/ytc/AL5GRJXeYHlFLxH-cf9htO42w3yam_LMfp_JpN4yrp-k=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC0C45OMkYgtGbo0G5aKyyuw","True","none",0,"2021-12-19T01:10:03Z","2021-12-19T01:10:03Z","UC0C45OMkYgtGbo0G5aKyyuw","UgxjrPKki_cbgjc44k94AaABAg",0.36043653
4,"AOSLIzKRqJU","Why does COP fail. COP fails because it is setup to fail. What needs to be done to fix the problem? Immediately reduce fossil fuels and cut emissions to zero, end subsidies for fuels, pay the real cost of fuel, transfer the funds to renewable energy and pay damages for the most effected. This is a basic need to move forward. Because of the need for every leader to agree it takes just one leader to disagree to end the proposal or you need to green wash it to the lowest ambitious in the pack! This means you are always bringing agreements to the low bar, the low bar is always going to be nothing close to what is needed! That is why it fails! It has been setup too fail by people who want it to fail! You need too reach for the highest ambitions of the leaders who are prepared to do what is needed and implement those ambitions! A coalition of the real statesman! With the rest, you drag them along with incentives or sanctions! To consider this as a democratic process is a mistake. It is a moral choice of right or wrong! The question is that do you want to leave the most important action that mankind needs to take to leadership with the least ambitions? Because that&#39;s precisely what you&#39;re doing","Why does COP fail. COP fails because it is setup to fail. What needs to be done to fix the problem? Immediately reduce fossil fuels and cut emissions to zero, end subsidies for fuels, pay the real cost of fuel, transfer the funds to renewable energy and pay damages for the most effected. This is a basic need to move forward. Because of the need for every leader to agree it takes just one leader to disagree to end the proposal or you need to green wash it to the lowest ambitious in the pack! This means you are always bringing agreements to the low bar, the low bar is always going to be nothing close to what is needed! That is why it fails! It has been setup too fail by people who want it to fail! You need too reach for the highest ambitions of the leaders who are prepared to do what is needed and implement those ambitions! A coalition of the real statesman! With the rest, you drag them along with incentives or sanctions! To consider this as a democratic process is a mistake. It is a moral choice of right or wrong! The question is that do you want to leave the most important action that mankind needs to take to leadership with the least ambitions? Because that's precisely what you're doing","Anthony Burton","https://yt3.ggpht.com/ytc/AL5GRJUa5OoUiLv88r7H01dAbTxBx-oo0-oLln9aFg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrvM4RaDKVgSZp4zyJ8PMwg","True","none",0,"2021-11-16T12:29:05Z","2021-11-16T13:03:07Z","UCrvM4RaDKVgSZp4zyJ8PMwg","UgzAJg34fK73AhwL7kJ4AaABAg",0.09394901
5,"AOSLIzKRqJU","Earth will turn into Venus or Mercury soon if these pple effecting the environment aren’t stopped. $$$ or Life/  (humans are cowards and they gon reck themselves someday )","Earth will turn into Venus or Mercury soon if these pple effecting the environment aren’t stopped. $$$ or Life/  (humans are cowards and they gon reck themselves someday )","GeediGeediMuse","https://yt3.ggpht.com/W9dTKvxYBXUUBktS_iRpMpYTWRMc3oxuIbddPIFi1Mobnq6YyBGZeaT12UEfaC6qUXXVdkioWw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzoNys4L-zDoKRjxUQE2KeA","True","none",0,"2021-11-04T12:43:55Z","2021-11-04T12:43:55Z","UCzoNys4L-zDoKRjxUQE2KeA","UgxsI4v7ZQ7fRvpLZbJ4AaABAg",0.39842087
6,"AOSLIzKRqJU","<a href=""http://www.youtube.com/results?search_query=%23poopypantsbiden"">#PoopyPantsBiden</a>","#PoopyPantsBiden","RJ Santos","https://yt3.ggpht.com/ytc/AL5GRJUFf53yDpnc0_l6YRkXxUn35PmKb5kQvmN4dg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCcTX9jagKAGsS-Xg8WXLLRg","True","none",0,"2021-11-03T11:35:13Z","2021-11-03T11:35:13Z","UCcTX9jagKAGsS-Xg8WXLLRg","UgycdBgvwF4TpsmzqGB4AaABAg",0.11367676
7,"AOSLIzKRqJU","Why doesn’t any reporter say to him with gas prices etc up is because he shut everything down. We were energy independent and BIDEN ENDED IT!","Why doesn’t any reporter say to him with gas prices etc up is because he shut everything down. We were energy independent and BIDEN ENDED IT!","RoseyM","https://yt3.ggpht.com/f7zzySOtWGLFbq1HLNa31CPt8KLxYwF7eesTXQgFy4eF54LYJiBUIdzXTjD95zhLdBdsdEJD6jw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCYr1yfQijqrF7tS73BbjifQ","True","none",0,"2021-11-02T19:31:15Z","2021-11-02T19:31:15Z","UCYr1yfQijqrF7tS73BbjifQ","UgyS0oqcJzsJGJVPyQR4AaABAg",0.038519915
8,"AOSLIzKRqJU","The nazibots crying in the comments 😂😂🤣😂","The nazibots crying in the comments 😂😂🤣😂","Phoenix","https://yt3.ggpht.com/Jx_38Ryhn7MPjxAZ7sfd7MQXo9GpXpU5BYhnbCMOrEdl88ghe1pt12SYUXW12wLoB_SkfCiAkg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC8cOkvpaQhcTZ1V_quHyeOw","True","none",0,"2021-11-02T15:13:46Z","2021-11-02T15:13:46Z","UC8cOkvpaQhcTZ1V_quHyeOw","Ugy9DqOt0V6PO6ama_Z4AaABAg",0.39987978
9,"AOSLIzKRqJU","Biden&gt;trump","Biden>trump","scienceisfun","https://yt3.ggpht.com/B6Bx9Ddu2H2BpMXzEt0I3MW8wpRitF5WfGKC2_h1g9SazHEFbuZH0ApPPFc45wzMjCQgq01H7w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCLP8HnFx7hvkviMK6GazbwA","True","none",0,"2021-11-02T13:53:40Z","2021-11-02T13:53:40Z","UCLP8HnFx7hvkviMK6GazbwA","UgxfwFsXtL5YnYC8paF4AaABAg",0.03192045
